DEVICE;TYPEID;M;N;K;S;GFLOPS;BS;BM;BN;BK;WS;WG;LU;NZ;AL;TB;TC;AP;AA;AB;AC
gfx90a [0x989f];3;10;7;7;30000;0;20;10;1;8;1;1;0;0;1;1;1;1;2;2;0;0
gfx90a [0x989f];3;10;7;10;30000;0;9;10;1;1;1;1;-2;0;1;0;1;1;2;0;0;0
gfx90a [0x989f];3;10;10;3;30000;0;15;10;1;10;0;1;-1;1;1;1;1;1;0;0;0;0
gfx90a [0x989f];3;10;10;4;30000;0;20;10;1;5;1;0;1;0;0;0;1;0;2;0;0;0
gfx90a [0x989f];3;10;10;5;30000;0;15;10;1;3;0;0;0;0;0;0;1;1;2;2;1;0
gfx90a [0x989f];3;10;10;6;30000;0;25;10;1;7;1;0;-2;0;0;0;1;0;0;0;0;0
gfx90a [0x989f];3;10;10;7;30000;0;15;10;1;1;1;0;0;0;0;0;1;0;2;2;0;0
gfx90a [0x989f];3;10;10;10;30000;0;10;10;1;9;1;0;-2;0;1;1;1;1;0;1;0;0
gfx90a [0x989f];3;10;10;16;30000;0;12;10;1;1;1;-2;0;0;1;1;1;0;2;0;0;0
gfx90a [0x989f];3;10;10;23;30000;0;15;10;1;1;1;1;0;0;1;1;1;1;2;2;0;0
gfx90a [0x989f];3;10;16;10;30000;0;13;10;1;1;1;-2;0;1;1;0;1;1;2;0;0;0
gfx90a [0x989f];3;10;16;16;30000;0;15;10;1;1;1;-1;0;0;0;1;1;1;2;2;1;0
gfx90a [0x989f];3;10;23;10;30000;0;24;10;1;4;1;-1;-1;0;1;1;1;1;0;0;1;0
gfx90a [0x989f];3;10;23;23;30000;0;3;10;1;4;1;-2;2;0;0;0;1;0;1;0;0;0
gfx90a [0x989f];3;11;3;3;30000;0;9;11;1;6;1;0;-2;0;0;0;1;0;0;0;0;0
gfx90a [0x989f];3;11;3;11;30000;0;10;11;1;1;1;-1;-2;0;1;1;1;1;0;2;1;0
gfx90a [0x989f];3;11;4;4;30000;0;13;11;1;3;1;0;-1;0;1;0;1;1;0;2;0;0
gfx90a [0x989f];3;11;4;11;30000;0;12;11;1;1;1;-2;0;0;1;1;1;1;2;2;0;0
