DEVICE;TYPEID;M;N;K;S;GFLOPS;BS;BM;BN;BK;WS;WG;LU;NZ;AL;TB;TC;AP;AA;AB;AC
NVIDIA H100 PCIe [0xa32d];3;7;6;8;30000;0;11;7;1;3;0;0;0;0;0;0;1;0;3;0;0
NVIDIA H100 PCIe [0xa32d];3;7;7;4;30000;0;18;7;1;2;0;1;-1;0;0;0;1;1;2;3;0
NVIDIA H100 PCIe [0xa32d];3;7;7;5;30000;0;11;7;1;7;0;1;0;1;0;1;1;0;2;3;0
NVIDIA H100 PCIe [0xa32d];3;7;7;6;30000;0;17;7;1;2;0;-2;1;1;0;0;1;1;1;3;0
NVIDIA H100 PCIe [0xa32d];3;7;7;7;30000;0;14;7;1;4;0;0;0;0;0;1;1;1;1;0;0
NVIDIA H100 PCIe [0xa32d];3;7;7;8;30000;0;24;7;1;2;0;-1;-1;0;0;0;1;0;2;3;0
NVIDIA H100 PCIe [0xa32d];3;7;7;9;30000;0;6;7;1;2;0;-1;-1;0;0;0;1;0;1;3;0
NVIDIA H100 PCIe [0xa32d];3;7;7;13;30000;0;6;7;1;2;0;-1;2;0;0;1;1;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;7;8;6;30000;0;10;7;1;2;0;-2;1;0;0;1;1;1;1;0;0
NVIDIA H100 PCIe [0xa32d];3;7;8;7;30000;0;6;7;1;3;0;-1;-2;0;0;0;1;0;1;0;0
NVIDIA H100 PCIe [0xa32d];3;7;8;8;30000;0;7;7;1;2;0;1;-1;0;0;0;1;0;2;3;0
NVIDIA H100 PCIe [0xa32d];3;7;9;4;30000;0;16;7;1;2;0;-1;-1;0;0;0;1;0;3;3;0
NVIDIA H100 PCIe [0xa32d];3;7;9;5;30000;0;12;7;1;2;0;0;0;0;0;0;1;0;1;0;0
NVIDIA H100 PCIe [0xa32d];3;7;9;7;30000;0;9;7;1;6;0;-1;-1;1;0;1;1;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;7;13;4;30000;0;14;7;1;6;0;-2;0;0;0;0;1;1;1;3;0
NVIDIA H100 PCIe [0xa32d];3;7;13;5;30000;0;11;7;1;2;0;1;1;1;0;1;1;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;7;13;7;30000;0;14;7;1;3;0;-1;-2;1;0;1;1;1;1;0;0
NVIDIA H100 PCIe [0xa32d];3;7;13;13;30000;0;14;7;1;5;0;-2;-1;1;0;1;1;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;8;6;6;30000;0;14;8;1;6;0;1;-1;0;0;1;1;0;3;3;0
NVIDIA H100 PCIe [0xa32d];3;8;6;7;30000;0;14;8;1;7;0;-1;-2;0;0;0;1;0;3;0;0
NVIDIA H100 PCIe [0xa32d];3;8;6;8;30000;0;11;8;1;4;0;0;-1;0;0;0;1;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;8;7;6;30000;0;14;8;1;4;0;1;-1;1;0;0;1;1;1;0;0
NVIDIA H100 PCIe [0xa32d];3;8;7;7;30000;0;14;8;1;1;0;-2;0;0;0;0;1;0;0;3;0
NVIDIA H100 PCIe [0xa32d];3;8;7;8;30000;0;16;8;1;4;0;-1;0;0;0;1;1;0;3;3;0
NVIDIA H100 PCIe [0xa32d];3;8;8;6;30000;0;18;8;1;6;0;0;-1;1;0;1;1;1;1;0;0
NVIDIA H100 PCIe [0xa32d];3;8;8;7;30000;0;17;8;1;3;0;-1;1;0;0;0;1;1;2;3;0
NVIDIA H100 PCIe [0xa32d];3;8;8;8;30000;0;14;8;1;3;0;0;-2;0;0;1;1;1;1;3;0
NVIDIA H100 PCIe [0xa32d];3;9;4;4;30000;0;11;9;1;3;0;-1;1;1;0;0;1;0;3;3;0
NVIDIA H100 PCIe [0xa32d];3;9;4;5;30000;0;11;9;1;4;0;1;1;1;0;0;1;1;0;3;0
NVIDIA H100 PCIe [0xa32d];3;9;4;7;30000;0;11;9;1;3;0;1;-2;1;0;0;1;1;3;0;0
NVIDIA H100 PCIe [0xa32d];3;9;4;9;30000;0;1;9;1;9;0;-2;-2;0;0;0;0;1;3;0;1
NVIDIA H100 PCIe [0xa32d];3;9;4;13;30000;0;1;9;1;6;0;-2;0;0;0;0;0;0;3;0;1
NVIDIA H100 PCIe [0xa32d];3;9;5;4;30000;0;13;9;1;2;0;-2;1;0;0;0;1;1;1;0;0
NVIDIA H100 PCIe [0xa32d];3;9;5;5;30000;0;14;9;1;2;0;0;2;1;0;1;1;0;3;0;0
NVIDIA H100 PCIe [0xa32d];3;9;5;7;30000;0;17;9;1;2;0;-1;-2;0;0;1;1;1;0;0;1
NVIDIA H100 PCIe [0xa32d];3;9;5;9;30000;0;15;9;1;2;0;1;-2;0;0;0;1;1;0;3;0
NVIDIA H100 PCIe [0xa32d];3;9;7;4;30000;0;14;9;1;3;0;0;-2;1;0;1;1;0;3;3;0
NVIDIA H100 PCIe [0xa32d];3;9;7;5;30000;0;12;9;1;5;0;0;-2;0;0;0;1;1;3;3;0
NVIDIA H100 PCIe [0xa32d];3;9;7;7;30000;0;10;9;1;3;0;0;0;0;0;0;1;1;1;0;0
NVIDIA H100 PCIe [0xa32d];3;9;9;4;30000;0;18;9;1;9;0;-1;-1;0;0;0;1;1;2;2;0
NVIDIA H100 PCIe [0xa32d];3;9;9;5;30000;0;21;9;1;4;0;-2;-1;0;0;0;1;1;1;3;0
NVIDIA H100 PCIe [0xa32d];3;9;9;9;30000;0;7;9;1;3;0;-2;0;1;0;0;1;0;1;3;0
NVIDIA H100 PCIe [0xa32d];3;9;9;16;30000;0;6;9;1;2;0;-2;0;1;0;1;1;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;9;9;22;30000;0;11;9;1;8;0;1;-2;1;0;1;1;0;2;0;0
NVIDIA H100 PCIe [0xa32d];3;9;9;32;30000;0;22;9;1;5;0;-2;-2;0;0;0;1;1;2;3;0
NVIDIA H100 PCIe [0xa32d];3;9;13;4;30000;0;14;9;1;3;0;-1;0;1;0;0;1;1;1;3;0
NVIDIA H100 PCIe [0xa32d];3;9;16;9;30000;0;18;9;1;6;0;0;0;0;0;0;1;1;2;0;2
NVIDIA H100 PCIe [0xa32d];3;9;16;16;30000;0;4;9;1;4;0;-1;1;1;0;0;1;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;9;16;22;30000;0;10;9;1;8;0;1;1;1;0;1;1;1;1;0;1
NVIDIA H100 PCIe [0xa32d];3;9;22;9;30000;0;20;9;1;4;0;1;0;1;0;0;1;1;1;3;0
NVIDIA H100 PCIe [0xa32d];3;9;22;16;30000;0;13;9;1;4;0;1;0;1;0;1;1;1;2;0;0
